Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      

1-1     22      1.7606  0       0       0       59.556  29.784  99.69   5.4876  0.6     
1-2     27      1.5462  0       0       0       55.194  22.482  99.62   5.5902  0.4845  
1-3     1       16.299  0       0       0       11.617  -82.87  98.48   5.2834  0.4159  
1-4     24      1.7684  0       0       0       49.854  28.848  99.68   5.3064  0.7456  
1-5     30      1.2169  0       0       0       43.615  6.599   99.51   5.5707  0.4426  
1-6     28      1.492   0       0       0       34.652  -6.75   99.45   5.4599  0.4841  
1-7     10      2.711   0       0       0       79.783  58.488  99.77   5.4582  0.7704  
1-8     16      2.3669  0       0       0       68.298  48.589  99.75   5.4055  0.7602  
1-9     6       3.498   0       0       0       111.52  78.502  99.82   5.591   0.7891  
1-10    18      2.1536  0       0       0       62.524  42.13   99.73   5.3987  0.7327  
1-11    9       3.0671  0       0       0       93.137  68.02   99.8    5.5175  0.7781  
1-12    14      2.5112  0       0       0       72.942  52.824  99.76   5.4265  0.7654  
1-13    11      2.6577  0       0       0       81.961  56.706  99.76   5.5711  0.6623  
1-14    4       6.7399  0       0       0       15.735  -51.69  98.85   5.3389  0.4335  
1-15    3       9.3308  0       0       0       13.221  -59.7   98.74   5.2511  0.4687  
1-16    19      1.9298  0       0       0       64.018  35.179  99.72   5.4798  0.6299  
1-17    5       5.0049  0       0       0       18.024  -43.19  99.06   5.3042  0.4825  
1-18    29      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
1-19    13      2.5479  0       0       0       76.674  53.792  99.76   5.5055  0.7034  
1-20    26      1.6396  0       0       0       57.683  25.7    99.64   5.582   0.504   
1-21    2       11.782  0       0       0       13.625  -73.48  98.64   5.3398  0.4017  
1-22    20      1.9543  0       0       0       29.285  -15.91  99.4    5.3833  0.5115  
1-23    17      2.1759  0       0       0       72.877  42.336  99.72   5.5831  0.5747  
1-24    23      1.7104  0       0       0       57.608  28.142  99.69   5.4559  0.6192  
1-25    25      1.6402  0       0       0       57.72   25.722  99.64   5.5835  0.5028  
1-26    15      2.3741  0       0       0       78.85   47.992  99.75   5.5833  0.6016  
1-27    8       3.9636  0       0       0       23.302  -43.23  99.16   5.4427  0.4061  
1-28    12      2.5917  0       0       0       78.754  54.978  99.76   5.5306  0.6882  
1-29    21      1.82    0       0       0       61.344  31.693  99.7    5.4972  0.6001  
1-30    7       3.319   0       0       0       104.2   74.19   99.81   5.576   0.7697  
---------------------------------------------------------------------
